Sample_number,ID,Sample_ID,Class,SRA_accession
Sample_0846,18BL323,14PD-C10,Breeding line,SAMN22588550
Sample_0856,18BL324,14PD-C10,Breeding line,SAMN22588551
Sample_0864,18BL325,14S*PM3/PBM-C3,Breeding line,SAMN22588552
Sample_0872,18BL326,14S*PM3/PBM-C3,Breeding line,SAMN22588553
Sample_0881,18BL327,14S*PM3/PBM-C3,Breeding line,SAMN22588554
Sample_0743,18BL227,14S*PS,Breeding line,SAMN22588555
Sample_0754,18BL228,14S*PS,Breeding line,SAMN22588556
Sample_0764,18BL229,14S*PS,Breeding line,SAMN22588557
Sample_0772,18BL230,14S*PS,Breeding line,SAMN22588558
Sample_0783,18BL231,14S*PS,Breeding line,SAMN22588559
Sample_0193,18NS253,Aquatica_species,Natural stand,SAMN22589371
Sample_0194,18NS261,Aquatica_species,Natural stand,SAMN22589372
Sample_0195,18NS269,Aquatica_species,Natural stand,SAMN22589373
Sample_0204,18NS254,Aquatica_species,Natural stand,SAMN22589374
Sample_0205,18NS262,Aquatica_species,Natural stand,SAMN22589375
Sample_0206,18NS270,Aquatica_species,Natural stand,SAMN22589376
Sample_0215,18NS255,Aquatica_species,Natural stand,SAMN22589377
Sample_0216,18NS263,Aquatica_species,Natural stand,SAMN22589378
Sample_0217,18NS271,Aquatica_species,Natural stand,SAMN22589379
Sample_0226,18NS256,Aquatica_species,Natural stand,SAMN22589380
Sample_0227,18NS264,Aquatica_species,Natural stand,SAMN22589381
Sample_0228,18NS272,Aquatica_species,Natural stand,SAMN22589382
Sample_0238,18NS257,Aquatica_species,Natural stand,SAMN22589383
Sample_0239,18NS265,Aquatica_species,Natural stand,SAMN22589384
Sample_0240,18NS273,Aquatica_species,Natural stand,SAMN22589385
Sample_0250,18NS258,Aquatica_species,Natural stand,SAMN22589386
Sample_0251,18NS266,Aquatica_species,Natural stand,SAMN22589387
Sample_0252,18NS274,Aquatica_species,Natural stand,SAMN22589388
Sample_0261,18NS251,Aquatica_species,Natural stand,SAMN22589389
Sample_0262,18NS259,Aquatica_species,Natural stand,SAMN22589390
Sample_0263,18NS267,Aquatica_species,Natural stand,SAMN22589391
Sample_0264,18NS275,Aquatica_species,Natural stand,SAMN22589392
Sample_0273,18NS252,Aquatica_species,Natural stand,SAMN22589393
Sample_0274,18NS260,Aquatica_species,Natural stand,SAMN22589394
Sample_0275,18NS268,Aquatica_species,Natural stand,SAMN22589395
Sample_0276,18NS276,Aquatica_species,Natural stand,SAMN22589396
Sample_0277,18NS277,Aquatica_species,Natural stand,SAMN22589397
Sample_0278,18NS285,Aquatica_species,Natural stand,SAMN22589398
Sample_0279,18NS289,Aquatica_species,Natural stand,SAMN22589399
Sample_0280,18NS297,Aquatica_species,Natural stand,SAMN22589400
Sample_0289,18NS278,Aquatica_species,Natural stand,SAMN22589401
