,samples,ID,sample_ID_simplified,sample_ID_extended,class
1,Sample_0001,18NS005,Necktie River,Necktie River,Natural stand
2,Sample_0002,18NS013,Necktie River,Necktie River,Natural stand
3,Sample_0003,18NS021,Necktie River,Necktie River,Natural stand
4,Sample_0004,18NS029,Necktie River,Necktie River,Natural stand
5,Sample_0005,18NS037,Necktie River,Necktie River,Natural stand
6,Sample_0006,18NS045,Necktie River,Necktie River,Natural stand
7,Sample_0007,18NS053,Clearwater River,Clearwater River,Natural stand
8,Sample_0008,18NS061,Clearwater River,Clearwater River,Natural stand
9,Sample_0009,18NS069,Clearwater River,Clearwater River,Natural stand
10,Sample_0010,18NS077,Clearwater River,Clearwater River,Natural stand
11,Sample_0011,18NS085,Clearwater River,Clearwater River,Natural stand
12,Sample_0012,18NS006,Necktie River,Necktie River,Natural stand
13,Sample_0013,18NS014,Necktie River,Necktie River,Natural stand
14,Sample_0014,18NS022,Necktie River,Necktie River,Natural stand
15,Sample_0015,18NS030,Necktie River,Necktie River,Natural stand
16,Sample_0016,18NS038,Necktie River,Necktie River,Natural stand
17,Sample_0017,18NS046,Necktie River,Necktie River,Natural stand
18,Sample_0018,18NS054,Clearwater River,Clearwater River,Natural stand
19,Sample_0019,18NS062,Clearwater River,Clearwater River,Natural stand
20,Sample_0020,18NS070,Clearwater River,Clearwater River,Natural stand
21,Sample_0021,18NS078,Clearwater River,Clearwater River,Natural stand
22,Sample_0022,18NS086,Clearwater River,Clearwater River,Natural stand
23,Sample_0023,18NS007,Necktie River,Necktie River,Natural stand
24,Sample_0024,18NS015,Necktie River,Necktie River,Natural stand
25,Sample_0025,18NS023,Necktie River,Necktie River,Natural stand
26,Sample_0026,18NS031,Necktie River,Necktie River,Natural stand
27,Sample_0027,18NS039,Necktie River,Necktie River,Natural stand
28,Sample_0028,18NS047,Necktie River,Necktie River,Natural stand
29,Sample_0029,18NS055,Clearwater River,Clearwater River,Natural stand
30,Sample_0030,18NS063,Clearwater River,Clearwater River,Natural stand
31,Sample_0031,18NS071,Clearwater River,Clearwater River,Natural stand
32,Sample_0032,18NS079,Clearwater River,Clearwater River,Natural stand
33,Sample_0033,18NS087,Clearwater River,Clearwater River,Natural stand
34,Sample_0034,18NS008,Necktie River,Necktie River,Natural stand
35,Sample_0035,18NS016,Necktie River,Necktie River,Natural stand
