ind.names,population
Sample_0735,Barron
Sample_0745,Barron
Sample_0756,Barron
Sample_0774,Barron
Sample_0785,Barron
Sample_0776,Barron
Sample_0787,Barron
Sample_0789,Barron
Sample_0799,Barron
Sample_0808,Barron
Sample_0740,Barron
Sample_0751,Barron
Sample_0761,Barron
Sample_0769,Barron
Sample_0780,Barron
Sample_0790,Barron
Sample_0800,Barron
Sample_0809,Barron
Sample_0741,Barron
Sample_0833,Barron
Sample_0843,Barron
Sample_0853,Barron
Sample_0797,Barron
Sample_0806,Barron
Sample_0777,Barron
Sample_0803,BarronxK2
Sample_0847,BarronxK2
Sample_0653,BarronxK2
Sample_0665,BarronxK2
Sample_0677,BarronxK2
Sample_0689,BarronxK2
Sample_0864,DwarfxPM3E
Sample_0872,DwarfxPM3E
Sample_0881,DwarfxPM3E
Sample_0652,K2xDwarfxBarron
Sample_0664,K2xDwarfxBarron
Sample_0676,K2xDwarfxBarron
Sample_0688,K2xDwarfxBarron
Sample_0687,K2xDwarfxBarron
Sample_0698,K2xDwarfxBarron
Sample_0709,K2xDwarfxBarron
Sample_0720,K2xDwarfxBarron
Sample_0731,K2xDwarfxBarron
Sample_0846,Dwarf
Sample_0856,Dwarf
Sample_0743,Dwarf
Sample_0754,Dwarf
Sample_0764,Dwarf
Sample_0772,Dwarf
Sample_0783,Dwarf
Sample_1048,Dwarf
Sample_0747,FY-C20
Sample_0758,FY-C20
Sample_0807,FY-C20
Sample_0739,FY-C20
Sample_0749,FY-C20
Sample_0778,FY-C20
Sample_0788,FY-C20
Sample_0798,FY-C20
Sample_0812,FY-C20
Sample_0744,FY-C20
Sample_0755,FY-C20
Sample_0813,FY-C20
Sample_0814,FY-C20
Sample_0826,FY-C20
Sample_0838,FY-C20
Sample_0848,FY-C20
Sample_0858,FY-C20
Sample_0866,FY-C20
Sample_0818,FY-C20
Sample_0830,FY-C20
Sample_0840,FY-C20
Sample_0850,FY-C20
Sample_0875,FY-C20
Sample_0886,FY-C20
Sample_0819,FY-C20
Sample_0831,FY-C20
